SKU_A,SKU_B,Pearson_r,dominant_lag,is_lead_lag,community_A,community_B
UVSVP401,ME6632XL,"0,9338",-2,1,0,0
UVSVP401,CRST1130,"0,9178",0,0,0,0
UVSVP401,ME6632L,"0,8834",0,0,0,0
UVSVP401,UVS4040,"0,8778",-2,1,0,0
UVSVP401,SRESM60V,"0,8311",0,0,0,0
ME6632XL,UVS4040,"0,9784",0,0,0,0
ME6632XL,ME6632L,"0,9387",0,0,0,0
ME6632XL,ME6632M,"0,8917",0,0,0,0
ME6632XL,CRST1130,"0,7939",0,0,0,0
ME6632XL,PIP33-BLK125BPL,"0,756",0,0,0,0
UVS4040,ME6632L,"0,8677",0,0,0,0
UVS4040,ME6632M,"0,7941",0,0,0,0
ME6632L,ME6632M,"0,9222",0,0,0,0
ME6632L,CRST1130,"0,846",0,0,0,0
ME6632L,MESX200LH,"0,8326",0,0,0,5
ME6632L,3M1292TY,"0,7787",0,0,0,5
MESX9667L,PIP42-874,"0,934",0,0,4,4
MESX9667L,GIA2005B,"0,8753",0,0,4,4
MESX9667L,JYG37510,"0,818",0,0,4,4
AE82501,SFGG805PFL,"0,9487",0,0,2,2
AE82501,JYR-1521M,"0,8251",0,0,2,2
AE82501,XAGRPCFCGIS,"0,8005",0,0,2,2
SFGG805PFL,JYR-1521M,"0,8149",0,0,2,2
SFGG805PFL,SFPUG611VMT,"0,7664",0,0,2,4
ME6632M,CRST1130,"0,904",0,0,0,0
PIP42-874,JYG37510,"0,7952",0,0,4,4
PIP42-874,GIA2005B,"0,7835",0,0,4,4
XS3M501,MESX9378KCTV,"0,8786",0,0,1,1
AN16-650T9,PIP33-BLK125BPXS,"0,9193",0,0,6,6
PIP33-BLK125BPXS,SRCRC12,"0,8513",2,1,6,6
CRST1130,XESB60R,"0,7856",0,0,0,0
CRST1130,ME9683S,"0,7807",0,0,0,0
CRST1130,SRESM60V,"0,763",0,0,0,0
3M5N11,3m6001PR,"0,9097",0,0,9,9
3M1292TY,MESX200LH,"0,909",0,0,5,5
3M1292TY,ME9683M,"0,8327",0,0,5,5
3M1292TY,JYG37510,"0,8242",0,0,5,4
3M1292TY,MOM2700,"0,7907",0,0,5,5
3M1292TY,UVSVP400,"0,7837",0,0,5,5
MESX200LH,ME9683M,"0,8817",0,0,5,5
MESX200LH,JYG37510,"0,8302",0,0,5,4
MESX200LH,UVSVP400,"0,7966",0,0,5,5
MESX200LH,MOM2700,"0,7853",0,0,5,5
MESX200LH,SFPUG611VMT,"0,7584",0,0,5,4
XS3M6003-TY,XS3M7502TY,"0,904",0,0,1,1
XS3M6003-TY,SRPEC60X90TY,"0,7833",0,0,1,1
XS3M7502TY,SRPEC60X90TY,"0,83",0,0,1,1
JYR-2004N,MRSR-1060NJTL,"0,8959",0,0,7,7
JYR-2004N,SRPM60X90,"0,7826",0,0,7,7
MOM2700,UVSVP400,"0,8839",0,0,5,5
MOM2700,ME9683M,"0,8046",0,0,5,5
UVSVP400,ME9683M,"0,8575",0,0,5,5
UVSVP400,JYG37510,"0,825",0,0,5,4
ME9683M,JYG37510,"0,8196",0,0,5,4
AN48-129T10,AN48-129T7,"0,8808",0,0,10,10
SRCRC12,SRCRCL,"0,8291",0,0,6,6
SRESM60V,3M6200,"0,7785",0,0,0,0
JYR-1521M,SACFCB02,"0,8081",0,0,2,2
JYR-1521M,JYR-2004AZ,"0,7799",0,0,2,2
SFT601,XS3M5N11,"0,8088",0,0,11,11
SACFCB02,DUNB127SXL,"0,7625",0,0,2,2
SPS3960HS,AN37-175T10,"0,7558",0,0,3,3
3M501,AN11-250,"0,7801",0,0,8,8
AN11-250,SPS700HS,"0,7692",0,0,8,8
