SKU_A,SKU_B,Pearson_r
AN11840-9,ME6632M,"0,8596"
AN11840-9,AN48-129T9,"0,8589"
3M1292TY,AN48-129T8,"0,8587"
3M1292TY,AN48-129T9,"0,8575"
ME9683M,ME9683S,"0,8571"
AN11840-9,ME6632L,"0,8565"
AN48-129T10,AN48-129T9,"0,8565"
AN11840-9,PIP33-BLK125BPL,"0,8564"
AN11840-7,UVS4040,"0,856"
UVS4040,UVSVP401,"0,8553"
ME6632M,ME9683S,"0,8539"
AN11-250,RA99705,"0,8537"
AN11840-8,AN48-129T8,"0,8525"
AN11840-8,AN48-129T7,"0,8497"
ME9683S,SFPUG611VMT,"0,8493"
AN48-129T8,ME6632L,"0,8489"
AN48-129T9,ME6632L,"0,8482"
AN11840-9,PIP33-BLK125BPS,"0,8467"
3M1292TY,AN48-129T7,"0,8464"
MESX9667L,SFPUG09VMT,"0,8462"
3M1292TY,RA99705,"0,8459"
PIP33-BLK125BPS,RA99705,"0,8451"
XS3M6003-TY,XS3M7502TY,"0,8448"
AN11840-8,PIP33-BLK125BPXS,"0,8432"
AN11-250,AN48-129T10,"0,8426"
ME9683S,PIP33-BLK125BPS,"0,8417"
ME9683L,ME9683S,"0,8416"
ME6632M,SFPUG611VMT,"0,8411"
ME9683L,SFPUG611VMT,"0,8405"
3M1292TY,AN11840-9,"0,8396"
AN11-250,PIP33-BLK125BPXS,"0,8396"
AN16-650T9,UVSVP401,"0,8394"
3M5N11,3M6200,"0,8389"
3M1292TY,SFPUG611VMT,"0,8385"
AN11840-8,ME6632XL,"0,8382"
AN48-129T7,PIP33-BLK125BPS,"0,8381"
AN11840-9,PIP33-BLK125BPM,"0,8369"
ME6632M,MESX9378KCTV,"0,8368"
AN48-129T8,PIP33-BLK125BPS,"0,8349"
ME6632XL,ME9683S,"0,8348"
AN48-129T9,PIP33-BLK125BPS,"0,8345"
AN48-129T10,RA99705,"0,8334"
CRST1130,ME6632XL,"0,8319"
AN11840-8,RA99705,"0,8289"
AN48-129T9,ME6632M,"0,8261"
ME6632L,ME9683S,"0,8251"
AN11840-9,ME6632XL,"0,8243"
3M6200,CR2310AF,"0,8227"
CRST1130,PIP33-BLK125BPXS,"0,8223"
ME9683M,UVSVP401,"0,822"
PIP33-BLK125BPXS,RA99705,"0,8219"
AN11-250,AN11840-7,"0,8215"
AN48-129T8,ME6632XL,"0,8198"
AN11840-9,AN48-129T8,"0,8182"
CRST1130,PIP33-BLK125BPS,"0,818"
CRST1130,ME9683S,"0,8178"
CRST1130,ME6632M,"0,8178"
CRST1130,ME9683M,"0,8165"
SRESM60V,UVSVP401,"0,8161"
AN48-129T7,ME6632M,"0,8157"
SRPEC60X90TY,XSAE82701,"0,8146"
ME9683M,XS3M7502TY,"0,8143"
ME6632XL,SFPUG611VMT,"0,8142"
ME9683S,PIP33-BLK125BPXS,"0,8139"
PIP33-BLK125BPS,SFPUG611VMT,"0,8126"
3M501,ME9683M,"0,8122"
ME6632XL,RA99705,"0,8115"
MESX9378KCTV,PIP33-BLK125BPS,"0,8115"
3M1292TY,CRST1130,"0,8103"
CRST1130,SFPUG611VMT,"0,8101"
MESX200LH,SFPUG611VMT,"0,8101"
AN37-175T10,SFGG805PFL,"0,8091"
AN48-129T8,ME6632M,"0,8086"
PIP42-874,SACFCB02,"0,8072"
ME6632M,RA99705,"0,8072"
AN37-175T10,PMKN95B,"0,8058"
3M501,SFPUG611VMT,"0,8051"
ME9683S,PIP33-BLK125BPM,"0,8046"
3m6001PR,CR2310AF,"0,8046"
AN11840-7,PIP33-BLK125BPL,"0,8046"
3M1292TY,AN48-129T10,"0,8018"
AN48-129T10,ME6632L,"0,8"
AN48-129T9,ME6632XL,"0,7996"
AN11840-7,PIP33-BLK125BPXS,"0,7968"
3M501,SRPM60X90,"0,7965"
AN11840-7,PIP33-BLK125BPM,"0,7957"
3M1292TY,AN11840-7,"0,7947"
AN11840-9,PIP33-BLK125BPXS,"0,7944"
ME6632XL,ME9683M,"0,7939"
ME6632XL,MESX9378KCTV,"0,7922"
PIP33-BLK125BPL,UVSVP401,"0,7914"
ME6632L,SFPUG611VMT,"0,7899"
AN11840-7,ME6632L,"0,7898"
AN11840-7,ME6632M,"0,7896"
AN48-129T8,PIP33-BLK125BPXS,"0,7896"
AN11840-7,AN48-129T10,"0,789"
ME6632L,MESX9378KCTV,"0,7887"
AN11840-7,PIP33-BLK125BPS,"0,7887"
AN11840-7,ME6632XL,"0,7886"
AN11840-7,AN48-129T9,"0,7886"
AN48-129T7,ME6632XL,"0,7877"
AN16-650T9,PIP33-BLK125BPXS,"0,7873"
AN11-250,UVSVP401,"0,7871"
ME9683S,MESX200LH,"0,7869"
ME9683S,UVS4040,"0,7864"
JYR-1521M,PMKN95B,"0,7863"
ME6632M,ME9683M,"0,7856"
AN48-129T10,PIP33-BLK125BPS,"0,7855"
ME9683M,PIP33-BLK125BPS,"0,7847"
ME9683L,MESX200LH,"0,7838"
MESX9378KCTV,UVSVP401,"0,783"
ME9683M,SRESM60V,"0,7828"
3M501,CRST1130,"0,7786"
AN48-129T7,PIP33-BLK125BPXS,"0,7784"
CRST1130,ME6632L,"0,7769"
ME9683L,PIP33-BLK125BPM,"0,7765"
MESX9378KCTV,PIP33-BLK125BPXS,"0,7737"
AN48-129T9,PIP33-BLK125BPXS,"0,7724"
3M501,UVSVP401,"0,7723"
CRST1130,PIP33-BLK125BPM,"0,7722"
XS3M501,XS3M5N11,"0,7721"
ME9683L,PIP33-BLK125BPS,"0,772"
ME6632XL,ME9683L,"0,7718"
ME6632M,ME9683L,"0,7715"
ME6632L,ME9683M,"0,7714"
ME9683M,UVS4040,"0,7685"
ME9683S,XS3M6003-TY,"0,7683"
AN16-650T9,CRST1130,"0,7681"
PIP33-BLK125BPM,SFPUG611VMT,"0,7681"
ME6632L,ME9683L,"0,768"
CRST1130,UVS4040,"0,768"
3M1292TY,MESX9378KCTV,"0,7668"
XS3M7093TY,XS3M7502TY,"0,7667"
ME9683M,PIP33-BLK125BPM,"0,7667"
ME9683M,PIP33-BLK125BPXS,"0,7656"
AN11840-7,AN48-129T8,"0,7649"
MESX9378KCTV,PIP33-BLK125BPM,"0,7643"
JYR-2004AZ,XS3M7093TY,"0,7628"
AN11840-9,RA99705,"0,7626"
PIP42-874,SFPUG09VMT,"0,7626"
AN11840-9,AN48-129T7,"0,7618"
MESX200LH,XS3M6003-TY,"0,7617"
AN16-650T9,ME6632XL,"0,7608"
ME9683L,UVS4040,"0,7606"
3M501,SRESM60V,"0,7605"
CRST1130,XS3M7502TY,"0,7603"
AN48-129T10,PIP33-BLK125BPXS,"0,7602"
SFPUG611VMT,SRESM60V,"0,7595"
MESX200LH,MOM2700,"0,7591"
ME9683S,SRESM60V,"0,758"
PIP33-BLK125BPXS,SFPUG611VMT,"0,7573"
SRESM60V,XS3M7502TY,"0,7572"
ME9683S,XS3M7502TY,"0,756"
SFPUG611VMT,UVS4040,"0,7558"
ME9683L,XS3M7502TY,"0,7554"
3M1292TY,MESX200LH,"0,7552"
AN11840-9,AN48-129T10,"0,7544"
MESX9378KCTV,SFPUG611VMT,"0,752"
GIA2005B,MESX9667L,"0,7506"
3M1292TY,XS3M7502TY,"0,7506"
AN48-129T10,ME6632M,"0,7501"
