SKU_A,SKU_B,Pearson_r
AN23-201T9,ME6632L,"-0,9999"
AN11-250,AN23-201T9,"-0,9886"
GECS826TL,JYR-2004B,"-0,9333"
SFT601,SRCRC12,"-0,9072"
GECS826TL,JYR-2004N,"-0,8566"
GECS826TL,XS3M6004TY,"-0,8281"
AN23-201T9,PIP33-BLK125BPL,"-0,8145"
